artist_name,spotify_link,mbid,country,method,track_used,tracks_tried,total_tracks_available,phase_used
...And Oceans,https://open.spotify.com/artist/0rWmH68lIyVOGYhhvayFzu,284460fc-c58a-4214-b81c-299a66bbd786,FI,step16_fallback_none,Förnyelse i Tre Akter,1.0,10.0,1.0
1914,https://open.spotify.com/artist/0IpKWttPlwhd7Cevxsh1Bz,eda0c0a6-c3ce-426d-8f84-e3200bc02693,UA,step16_fallback_none,1914 (The Siege of Przemyśl),1.0,10.0,1.0
83key,https://open.spotify.com/artist/4nBsH2GSePetK23pAK70rZ,c0e66990-0625-4a9b-afde-304544e59e51,JP,step16_fallback_none,Receive You The Hyperactive,1.0,10.0,1.0
A Canorous Quintet,https://open.spotify.com/artist/2Ckpbo5shtUafg3Sqd5Odf,e21fbf8b-d182-4add-b4e6-4b3fff7f1707,SE,step16_fallback_none,The Orchid's Sleep,1.0,10.0,1.0
A Dark Halo,https://open.spotify.com/artist/6rksTSAf57kE706AvJfONk,36506ccf-98fa-42bb-bde1-e34e4da9c338,US,step16_fallback_none,Fear,1.0,10.0,1.0
Abhorrence,https://open.spotify.com/artist/1MjzcVN4WuHSUyfUmwnbSB,a0c695e5-a1a0-4250-98c0-946f2a41023e,BR,step16_fallback_none,Abattoir,1.0,8.0,1.0
Abigail Williams,https://open.spotify.com/artist/4VkWISgUF5AccCSs92mauh,bb2d449e-d6c1-4f0c-8603-5b285acd311e,US,step16_fallback_none,Nonexistence,1.0,10.0,1.0
Ablaze My Sorrow,https://open.spotify.com/artist/1glgVUYAaDbuKvavzPKG0j,d2c0d69e-e3ca-45a4-a540-6ce42c617599,SE,step16_fallback_none,If Emotions Still Burn,1.0,10.0,1.0
Abstrakt Algebra,https://open.spotify.com/artist/6pDjAP2c7VmnVDhcJXIK3D,f4c5c91a-efc2-4b88-98ec-c5a98e636f58,SE,step16_fallback_none,Stigmata,1.0,10.0,1.0
Accept,https://open.spotify.com/artist/3JDIAtVrJdQ7GFOX26LYpv,41f4d85a-0bd7-4602-a3e3-8c47f36efb0a,DE,step16_fallback_none,Balls to the Wall,1.0,10.0,1.0
Achenar,https://open.spotify.com/artist/04pXdO1CoCOpfPAyLx5caO,69865787-8baf-4431-8571-b85d42c951bf,NO,step16_fallback_none,Sacred Duality,1.0,5.0,1.0
Acid Bath,https://open.spotify.com/artist/3n5jeTRWZEbTPJWyHSYUqn,8b8b33a3-0a11-48b4-8f5a-aaa79f4282a8,US,step16_fallback_none,Scream of the Butterfly,1.0,10.0,1.0
Acid Reign,https://open.spotify.com/artist/4kekrf5PjYCFlInGnVYhl0,6ebf2ab8-c317-4a2a-9b3f-46c1fa72020c,GB,step16_fallback_none,Goddess,1.0,10.0,1.0
Ade,https://open.spotify.com/artist/2K9jR1K4QUDbwP8WG5Px2r,7403da94-4d7f-4f36-a8a1-eb6e5cc788ce,IT,step16_fallback_none,Patibula,1.0,10.0,1.0
Aeon,https://open.spotify.com/artist/3thZAdDkh3yDo21gLptJTc,62606b75-cd4d-4d68-8ed8-1d817c2092b5,SE,step16_fallback_none,Still They Pray,1.0,10.0,1.0
Aeterna,https://open.spotify.com/artist/4YvOPlF7CZTB4opPminC2y,a069d428-c0ff-4fd2-a120-6f6373e3eda9,RU,step16_fallback_none,Полюшко-поле,1.0,10.0,1.0
Aetherian,https://open.spotify.com/artist/3dpDSmg1jDGvwMVQxhDYlw,d109fccb-7894-4de2-a0d9-4bdc11dd5caf,GR,step16_fallback_none,The Rain,1.0,10.0,1.0
Agalloch,https://open.spotify.com/artist/3Meu28o8P5z9Zjm6NTGihT,3d46727d-9367-47b8-8b8b-f7b6767f7d57,US,step16_fallback_none,A Celebration For The Death Of Man... (2016 - Remaster),1.0,10.0,1.0
Agent Steel,https://open.spotify.com/artist/1FQv3rI4iJPitbZiTxBGut,40051770-9f53-485a-b794-0a1d56c42e7d,US,step16_fallback_none,Agents of Steel,1.0,10.0,1.0
Alcest,https://open.spotify.com/artist/0d5ZwMtCer8dQdOPAgWhe7,dd77b8da-cdc7-46b8-8a7f-10894ca0490e,FR,step16_fallback_none,Sapphire,1.0,10.0,1.0
Alien Weaponry,https://open.spotify.com/artist/2vov4zolAP7zbIhB5CsIPm,d3112057-2475-4eb7-8853-503204761d15,NZ,step16_fallback_none,Kai Tangata,1.0,10.0,1.0
All That Remains,https://open.spotify.com/artist/2zgG1GPDvjaBgxeQaVXI14,4f8b7186-b2a2-40db-97ae-6e1cd46d57b1,US,step16_fallback_none,Two Weeks,1.0,10.0,1.0
Amon Amarth,https://open.spotify.com/artist/3pulcT2wt7FEG10lQlqDJL,5b687684-ad34-4a9f-b425-0e7aa81fbd38,SE,step16_fallback_none,Twilight Of The Thunder God,1.0,10.0,1.0
Amorphis,https://open.spotify.com/artist/2UOVgpgiNTC6KK0vSC77aD,efaefde1-e09b-4d49-9d8e-b1304d2ece8d,FI,step16_fallback_none,Dancing Shadow,1.0,10.0,1.0
Anacrusis,https://open.spotify.com/artist/42RvW31Dl6ScQWWLC0G6XP,e4ad6575-d89e-4c2d-b0db-a84d3f5d3dcc,US,step16_fallback_none,Sound The Alarm,1.0,10.0,1.0
1833 AD,https://open.spotify.com/artist/34KKIOfqUp7M3hhXhSqZGD,b16b4e49-5e99-446e-9bd6-212d7997c484,IN,step16_fallback_none,Who Will Kill the Emperor,1.0,10.0,1.0
Anarchos,https://open.spotify.com/artist/3qXIETN0rwgjuD1h2SRcIW,bd17e0b6-2e27-414a-bd86-678fbb2b2e38,NL,step16_fallback_none,Far Beyond Infinity,1.0,10.0,1.0
Andromeda,https://open.spotify.com/artist/46U3e36KOitRTJchc1SqFu,b779cbb0-9901-4527-b566-b073903aa909,SE,step16_fallback_none,The Words Unspoken,1.0,10.0,1.0
Angel Sword,https://open.spotify.com/artist/7maiDsuFqdMW1OVQxxQsA6,9d817ac5-8f7a-4905-bb4b-b07c30777a04,FI,step16_fallback_none,Vigilantes,1.0,10.0,1.0
Angel Witch,https://open.spotify.com/artist/6L48AOtGmQL1ELLoKML7cS,8e8bce36-51e0-4d10-8be4-19a8931b73b1,GB,step16_fallback_none,Angel Witch,1.0,10.0,1.0
Angelcorpse,https://open.spotify.com/artist/629IF7GEeID925sFE29cSn,13f95a1b-00f2-4be9-9457-d24983e1bf2b,US,step16_fallback_none,Wolflust,1.0,10.0,1.0
Annihilator,https://open.spotify.com/artist/0L8QRAAuWjqvTM8FpQ1gYO,c30ebe30-514f-4e6d-823a-19adf0225a56,CA,step16_fallback_none,Alison Hell,1.0,10.0,1.0
Annorkoth,https://open.spotify.com/artist/4Cs4g40gGeDNS2ZNVmM1j6,1e84b7a8-2d03-475e-a0f2-515ffcefa2fa,RU,step16_fallback_none,You're My Only Dream,1.0,10.0,1.0
Anthrax,https://open.spotify.com/artist/3JysSUOyfVs1UQ0UaESheP,b616d6f0-ec1f-4c69-8a79-12a97ece7372,US,step16_fallback_none,Got The Time,1.0,10.0,1.0
Antichrist Siege Machine,https://open.spotify.com/artist/0g132bsggkLIMT0pW9aa7s,57f2bfc7-7e85-4c27-b6f5-44746198b338,US,step16_fallback_none,Sisera,1.0,10.0,1.0
Anvil,https://open.spotify.com/artist/0maNhqGx60ucjS4UaAH6cP,07a85e96-bb72-4930-b41d-24853f4a4ede,CA,step16_fallback_none,Metal On Metal,1.0,10.0,1.0
Apati,https://open.spotify.com/artist/5w28U6wo7RtZZjThxtxIyL,bcfa7d81-cedf-430c-898c-a8244d2ebf69,SE,step16_fallback_none,Morgondagen,1.0,10.0,1.0
Arch Enemy,https://open.spotify.com/artist/0DCw6lHkzh9t7f8Hb4Z0Sx,e631bb92-3e2b-43e3-a2cb-b605e2fb53bd,SE,step16_fallback_none,War Eternal,1.0,10.0,1.0
Archgoat,https://open.spotify.com/artist/3n2bgWmlyHgwnd9aPmnTM4,969710a8-0ac1-40b7-a22c-6072254e4214,FI,step16_fallback_none,Jesus Christ Father of Lies,1.0,10.0,1.0
Aria,https://open.spotify.com/artist/0ICn3Cbc4mMeLmTvwnqXYu,1f36a3a2-9687-4819-ac55-54d7ff0b8b88,RU,step16_fallback_none,Bespechnyy angel,10.0,10.0,2.0
Armored Saint,https://open.spotify.com/artist/4ug41UGuMZzlV2hJOrOqHN,8ac580bd-5b33-4ee3-83df-8d406908e300,US,step16_fallback_none,Can U Deliver,1.0,10.0,1.0
Arsis,https://open.spotify.com/artist/7j1diUTtFReVVJxSQG3veO,ae933d70-b1c7-4628-8631-9aa71a2c1b0e,US,step16_fallback_none,Overthrown,1.0,10.0,1.0
Artillery,https://open.spotify.com/artist/6N62Sla6F2uuEzNALo6720,bd7febcc-fa2c-498a-a48b-9cf2be54dfed,DK,step16_fallback_none,By Inheritance,1.0,10.0,1.0
As I Lay Dying,https://open.spotify.com/artist/2vd2HnNh4pdYa9gDVHFjEu,ba147ea0-60c4-4a40-9da6-0d5c2b2e7b03,US,step16_fallback_none,My Own Grave,1.0,10.0,1.0
Ascended Dead,https://open.spotify.com/artist/5eAE0zR4YcmlcfyNeAVyEP,0b159139-cd34-424f-8b1f-9cc19a982f22,US,step16_fallback_none,Ungodly Death,1.0,10.0,1.0
Asphyx,https://open.spotify.com/artist/2eIvR1DzWm5GAufWC2rcGr,e1644bfd-a21f-427c-93ee-c8cec73bab82,NL,step16_fallback_none,Deathhammer,1.0,10.0,1.0
ASSAULT,https://open.spotify.com/artist/5uUZjNuCPiWDeFU6LoMlrE,d35a10bf-2e7f-4642-aaf4-015c6d081360,SG,step16_fallback_none,The Fallen Reich,1.0,10.0,1.0
At The Gates,https://open.spotify.com/artist/6YXarbjg36ODFPez0PnOlD,35f92c4a-69d0-4ed1-ab9e-05259db89d14,SE,step16_fallback_none,Slaughter Of The Soul,1.0,10.0,1.0
Atheist,https://open.spotify.com/artist/5QPy3HBn3AwzLEAQ8QeIo4,424f2349-f719-46c0-ab39-abbb4364d95f,US,step16_fallback_none,Mother Man,1.0,10.0,1.0
Atomkraft,https://open.spotify.com/artist/77sIR1VY06725rzAbF657L,f494bbe2-2dfd-4704-8a37-7642cfa2d2bb,GB,step16_fallback_none,Burn in Hell,1.0,10.0,1.0
Atrophy,https://open.spotify.com/artist/4wz92afc1nTCup8twv4bTA,23651172-708d-459c-84a9-87f104bae9bc,US,step16_fallback_none,Violent by Nature,1.0,10.0,1.0
Attacker,https://open.spotify.com/artist/1xUfcMarTKfum1EE0swabo,7cbb8888-b017-41b1-87a8-beb82ad297ea,US,step16_fallback_none,Lords Of Thunder,1.0,10.0,1.0
Attomica,https://open.spotify.com/artist/1gni4GCDSre0p0Oc4zrmEV,f5602c41-f29f-4b1d-800e-fb8a16884c31,BR,step16_fallback_none,Deathraiser,1.0,10.0,1.0
Auberon,https://open.spotify.com/artist/1LDMMf8lnSCBU588ZyjiRJ,be5f9772-329e-4617-8d81-56efffa7f416,SE,step16_fallback_none,Infinitive Beauty,1.0,10.0,1.0
Aurelian,https://open.spotify.com/artist/2IBxXtTUqPg3F36NKDIY0r,30c57bfb-c7cf-4216-95da-2ccee901bec0,US,step16_fallback_none,Battle of Medway,1.0,10.0,1.0
Aurora Borealis,https://open.spotify.com/artist/6OzXCWH8abO5qPzD09vmaU,4544b3d9-32b1-41d5-905f-ce6182a7d300,US,step16_fallback_none,A Gaze Into Everdark,1.0,10.0,1.0
Austere,https://open.spotify.com/artist/7gyVPCoE80rSyEW6yuJ6HM,f87a572c-b148-4e38-ab7e-a44d306f95ab,AU,step16_fallback_none,This Dreadful Emptiness,1.0,10.0,1.0
Autonoesis,https://open.spotify.com/artist/2gT6K6lpajAEHl086EZxWQ,21575a45-2a28-435c-83a5-dcbf6bafe561,CA,step16_fallback_none,Moon of Foul Magics,1.0,10.0,1.0
Autopsy,https://open.spotify.com/artist/6hR8mUd2yyHFazoCuweiIJ,1d097d38-d5ca-4cd4-9200-7f08eedd0875,US,step16_fallback_none,Charred Remains,1.0,10.0,1.0
Avantasia,https://open.spotify.com/artist/1Ih0fEQQsy9EeAJbYEeQRa,2ecbc483-dee4-442f-8ce7-f3ab31c73f87,DE,step16_fallback_none,Lay All Your Love On Me,1.0,10.0,1.0
Avmakt,https://open.spotify.com/artist/7fai0p75FkQVDUieoMZ1cH,3fb2b8b7-95fb-43cf-8336-10e5537ae910,NO,step16_fallback_none,Poison Reveal,1.0,6.0,1.0
AWS,https://open.spotify.com/artist/2I5ZkGFj7RYeIBjV4dFlWn,d16598bc-0fac-4c31-8647-578cc15875ce,HU,step16_fallback_none,Viszlát Nyár,1.0,10.0,1.0
Azaghal,https://open.spotify.com/artist/0kqafIf21Hks2EI9sSWywt,499d753e-aea0-417b-a9be-e77747999aae,FI,step16_fallback_none,Nemesis,1.0,10.0,1.0
Baphomet,https://open.spotify.com/artist/2ld55YGnn4rxOf3ukYLamp,ba7fad5f-4153-42c9-a815-5fbea468caae,US,step16_fallback_none,Streaks Of Blood,1.0,10.0,1.0
Barry J Gillis,https://open.spotify.com/artist/3H3lqPc9yFkrr9Ct78zEsw,,CA,step16_fallback_none,,,,
Bathory,https://open.spotify.com/artist/6rBvjnvdsRxFRSrq1StGOM,d292b4cd-37bd-4a88-a823-8710f273cc31,SE,step16_fallback_none,A Fine Day to Die,1.0,10.0,1.0
